id_transacao,id_contrato,id_cliente,id_agencia,id_produto,transacao_tipo,transacao_valor,data_key
54,9635,386,23,27,Pagamento,6.52,20240831
55,14111,2691,50,35,Transferência,13.82,20250919
56,9832,1376,76,32,Transferência,10.43,20240426
57,1735,2170,56,34,Transferência,11.55,20250107
58,14152,421,22,3,Transferência,29.63,20241017
59,5517,2800,30,15,Débito,12.32,20260101
60,4801,2256,70,29,Pagamento,20.19,20240626
61,3574,1718,71,25,Débito,12.55,20240805
62,10751,1032,37,1,Pagamento,12.84,20250328
63,13686,676,73,20,Pagamento,5.0,20250104
64,14023,1845,27,40,Transferência,7.74,20240630
65,7774,2948,79,4,Crédito,5.72,20250212
66,5479,1599,52,35,Transferência,5.2,20240122
67,11588,2933,26,19,Pix,6.28,20250709
68,14303,1669,73,11,Transferência,11.51,20240106
69,795,2641,25,29,Transferência,7.64,20240816
70,12182,147,59,2,Pix,20.54,20250930
71,12897,2678,57,16,Crédito,10.47,20240510
72,5403,1172,48,28,Crédito,19.75,20250530
73,1877,2432,49,30,Crédito,14.25,20260110
74,6769,1945,73,23,Crédito,6.71,20250131
75,10867,2320,69,32,Pagamento,17.39,20260111
76,3913,1030,9,1,Crédito,12.96,20250826
77,8250,1676,36,2,Crédito,5.0,20251214
78,8323,1520,77,22,Crédito,11.79,20240904
79,8568,1054,43,38,Pix,36.63,20250312
80,5548,859,55,36,Débito,25.58,20250411
81,12541,1703,31,29,Crédito,26.59,20250817
82,3558,1750,12,38,Pix,7.53,20250609
83,687,2106,21,7,Transferência,14.11,20240615
84,8121,2274,67,20,Pagamento,28.12,20251114
85,13369,1775,28,36,Débito,8.41,20240214
86,2931,2419,22,11,Pix,18.09,20241014
87,10033,2711,80,13,Transferência,19.57,20240204
88,497,1775,64,26,Pix,5.68,20251025
89,7913,1562,21,33,Débito,13.33,20241128
90,14806,2611,40,34,Pagamento,29.91,20250725
91,12635,2591,69,35,Pagamento,15.4,20250811
92,9596,2393,70,18,Transferência,5.0,20240116
93,10733,2722,34,13,Crédito,17.32,20241130
94,1155,87,5,39,Débito,16.33,20260207
95,5902,1157,58,3,Crédito,14.92,20240120
96,7952,2752,56,32,Pix,15.2,20240518
97,1659,769,22,35,Crédito,14.57,20250101
98,4614,2063,11,10,Pix,5.0,20241217
99,1673,1534,77,34,Crédito,23.99,20250306
100,852,2563,31,27,Transferência,10.14,20240620
101,12857,787,63,19,Pagamento,25.07,20251228
102,14673,1111,49,33,Crédito,5.49,20250922
103,2310,1079,70,30,Crédito,5.0,20241227
104,10458,2894,33,18,Pix,7.05,20240223
105,8936,2291,21,28,Pix,8.52,20241214
106,12956,1860,50,34,Débito,5.0,20250129
107,1171,204,77,28,Pagamento,5.0,20250408
108,8040,1467,39,26,Crédito,5.0,20250908
109,13805,2515,42,3,Pagamento,16.24,20251013
110,8790,118,29,30,Transferência,37.51,20241109
111,14356,1893,20,39,Crédito,45.39,20251021
112,3598,434,66,36,Pagamento,5.0,20260105
113,3653,954,23,13,Débito,12.72,20250722
114,14124,1489,67,4,Transferência,15.18,20240305
115,9059,466,66,20,Transferência,10.5,20240513
116,12551,2569,71,31,Débito,14.7,20240808
117,4929,1706,18,9,Transferência,16.25,20250826
118,313,154,73,33,Pix,5.14,20251122
119,166,2432,65,6,Crédito,10.02,20250527
120,10019,1072,18,19,Pix,5.0,20240825
121,6402,1285,80,40,Transferência,5.0,20251229
122,478,617,53,38,Débito,18.05,20260322
123,4445,1744,46,5,Pix,7.92,20250820
124,11150,2540,57,16,Transferência,5.43,20240108
125,10718,1167,35,33,Pix,11.72,20260120
126,11273,1359,43,37,Crédito,35.13,20250812
127,8391,1429,66,19,Transferência,5.27,20250122
128,355,1072,60,32,Transferência,19.26,20241130
129,410,950,24,12,Transferência,34.16,20250828
130,8790,118,29,30,Pix,10.86,20240108
131,14802,412,26,2,Pagamento,74.27,20250112
132,4009,1861,41,16,Transferência,13.6,20250722
133,1389,1122,38,35,Débito,5.0,20240223
134,4793,2681,44,33,Crédito,5.0,20240108
135,1712,1925,54,32,Pix,16.18,20250405
136,7335,1251,34,15,Débito,6.05,20260326
137,12164,1929,25,4,Pagamento,26.11,20250713
138,6430,248,63,30,Débito,5.0,20240728
139,11493,378,33,13,Pagamento,7.84,20260117
140,5642,2464,48,14,Pagamento,6.94,20240819
141,8754,710,48,30,Débito,8.61,20250325
142,3955,1044,1,18,Transferência,6.27,20260214
143,10240,1870,64,9,Pagamento,13.2,20250609
144,11602,130,77,6,Transferência,8.39,20240901
145,4982,498,4,22,Crédito,5.52,20251207
146,12369,856,7,6,Pix,8.25,20250307
147,5256,691,37,19,Débito,9.18,20240320
148,3503,1040,53,18,Transferência,10.69,20260131
149,6063,2518,56,8,Débito,16.73,20250625
150,11616,440,22,16,Transferência,27.99,20240318
151,11327,1807,18,7,Pix,11.46,20251007
152,4481,961,71,38,Crédito,5.0,20251105
153,2710,112,10,30,Pix,15.19,20241225
154,8930,322,78,23,Crédito,26.49,20260307
155,1863,1201,32,22,Transferência,8.68,20240624
156,9158,420,73,23,Débito,23.6,20240214
157,1658,16,58,9,Pix,18.31,20250504
158,13661,2421,20,40,Transferência,11.83,20250526
159,6675,1556,2,21,Pagamento,5.65,20251014
160,2742,1586,11,5,Pix,22.73,20240303
161,3444,851,48,4,Pagamento,19.99,20240823
162,14890,2525,49,8,Débito,14.93,20240607
163,7384,308,6,25,Pagamento,34.72,20251217
164,9069,2175,10,34,Pagamento,55.6,20251213
165,1196,1350,58,40,Débito,58.11,20240322
166,2769,1756,59,8,Débito,8.18,20240604
167,11773,264,33,18,Débito,14.99,20240218
168,3685,1366,41,26,Débito,13.49,20241019
169,2832,548,9,32,Crédito,9.28,20240916
170,12405,1483,30,20,Transferência,49.45,20241012
171,10111,1887,80,31,Pagamento,6.46,20240805
172,14615,2583,61,15,Crédito,5.0,20260121
173,11175,358,26,15,Transferência,16.06,20250221
174,2241,1190,31,1,Crédito,22.11,20251011
175,9199,2882,39,12,Crédito,15.73,20260220
176,291,1226,66,33,Pix,5.0,20260124
177,9920,1833,28,37,Pagamento,11.93,20250707
178,8932,779,54,18,Pix,8.64,20240508
179,3165,922,26,5,Pagamento,9.52,20240715
180,14775,2233,10,27,Crédito,116.31,20250213
181,7315,241,16,35,Transferência,5.0,20240512
182,13741,520,16,10,Débito,10.13,20260323
183,11061,2615,36,11,Crédito,15.89,20260221
184,12932,2016,33,31,Pagamento,5.0,20260212
185,9318,2275,5,26,Débito,6.66,20260123
186,2691,988,64,13,Débito,5.53,20250119
187,10139,2558,49,8,Débito,7.43,20260213
188,6214,1600,14,4,Pix,9.57,20250508
189,6441,776,20,40,Crédito,6.54,20240705
190,5146,1529,11,18,Pix,28.25,20240921
191,7087,2318,21,7,Pagamento,9.55,20250701
192,1745,5,61,16,Pix,10.8,20250809
193,5941,2934,75,6,Crédito,14.41,20250728
194,9734,2095,40,17,Pix,24.55,20260209
195,1336,1409,26,16,Crédito,8.53,20250123
196,13363,1093,32,15,Pagamento,5.0,20241229
197,11171,1702,29,9,Transferência,34.87,20240218
198,11514,1012,40,8,Transferência,25.18,20241122
199,12345,379,80,39,Débito,19.03,20240521
200,9198,1352,58,27,Transferência,17.7,20250305
201,2285,2576,32,18,Pagamento,9.23,20250302
202,7507,826,73,27,Pagamento,15.62,20240313
203,6391,1253,12,31,Crédito,6.71,20260212
204,4991,289,25,30,Pix,11.87,20260319
205,6112,2745,37,34,Débito,27.67,20241128
206,13810,398,25,10,Débito,5.0,20240522
207,4122,1087,8,2,Crédito,13.77,20260206
208,5745,2961,50,25,Pagamento,6.92,20240726
209,4068,2248,79,3,Transferência,14.73,20250907
210,10562,536,28,2,Transferência,6.87,20250227
211,4612,2827,8,2,Crédito,11.34,20240225
212,7846,972,52,6,Pagamento,11.53,20240417
213,6888,2032,80,40,Pix,5.0,20251212
214,7108,1796,23,27,Pagamento,5.0,20240522
215,11330,162,69,26,Débito,16.8,20250923
216,5803,2008,57,6,Débito,12.52,20240419
217,10670,2307,32,16,Pix,11.29,20240603
218,14361,2966,11,5,Transferência,12.27,20250208
219,1124,1414,45,27,Transferência,14.63,20240730
220,611,2150,73,37,Pagamento,5.66,20250802
221,14474,208,68,13,Pix,5.0,20240215
222,6445,1140,70,5,Pagamento,28.29,20250509
223,9459,728,59,36,Pagamento,10.84,20240409
224,4150,853,38,33,Pix,7.31,20240318
225,6900,465,17,20,Débito,8.05,20240529
226,12289,2075,65,15,Pix,10.71,20250509
227,13627,1102,65,29,Débito,5.74,20240202
228,4623,184,3,33,Transferência,16.04,20250304
229,8776,2494,74,16,Pagamento,12.02,20240227
230,4207,1531,78,32,Pix,12.87,20241219
231,2554,1669,61,5,Transferência,10.84,20250601
232,3127,2254,41,38,Crédito,18.54,20260322
233,4769,1936,30,3,Crédito,30.36,20250214
234,10374,1451,16,14,Pagamento,5.0,20250417
235,2481,721,61,1,Débito,7.04,20241014
236,14825,1202,60,13,Transferência,6.66,20250520
237,7867,782,68,27,Transferência,8.34,20240630
238,4842,270,62,23,Débito,11.51,20260313
239,9327,1629,3,7,Transferência,5.0,20250127
240,1582,1271,23,22,Transferência,23.18,20240302
241,4330,575,67,28,Pagamento,13.17,20241023
242,7095,1665,20,15,Transferência,11.97,20240229
243,14861,2392,38,8,Pagamento,9.39,20240804
244,301,1143,39,15,Débito,15.35,20250609
245,11864,293,4,38,Débito,5.0,20241029
246,5224,2606,22,9,Crédito,11.6,20260314
247,2009,2418,66,9,Débito,10.23,20251225
248,900,557,69,30,Débito,10.34,20250515
249,10183,2082,31,12,Transferência,10.41,20240808
250,6880,24,53,22,Transferência,8.71,20240605
251,6392,2492,6,1,Transferência,21.09,20250701
252,3026,1977,71,26,Débito,81.01,20251011
253,8201,1395,8,1,Pix,14.97,20240703
254,13914,881,78,34,Pagamento,15.63,20251229
255,10210,1131,45,25,Pix,5.0,20260101
256,7814,2924,59,29,Pix,14.22,20250728
257,8629,2437,48,12,Pix,7.16,20241222
258,10182,366,36,25,Pagamento,28.34,20241201
259,11576,1321,38,16,Pix,8.96,20240531
260,9299,861,32,19,Pix,10.09,20240817
261,13211,717,78,38,Crédito,16.01,20250723
262,1093,2407,45,12,Pix,30.38,20251028
263,2734,604,70,23,Pix,20.7,20251209
264,9968,410,36,22,Pix,5.93,20250810
265,6468,247,50,28,Transferência,6.8,20250422
266,4442,1722,79,10,Débito,5.0,20250711
267,12347,1732,35,26,Pagamento,5.31,20240103
268,13120,1766,63,1,Transferência,5.0,20241128
269,5092,2745,60,12,Pix,30.64,20240508
270,7890,2386,11,40,Crédito,31.78,20250803
271,2344,104,54,24,Pix,14.04,20250706
272,14177,1245,79,15,Débito,11.65,20240729
273,13819,759,39,11,Transferência,13.8,20250708
274,13548,260,58,24,Débito,6.01,20241122
275,986,2654,71,26,Crédito,7.73,20250319
276,149,2763,47,36,Débito,17.71,20240816
277,8625,2658,45,25,Transferência,5.0,20250916
278,12333,1029,47,5,Débito,9.85,20260309
279,6647,1191,75,21,Pagamento,6.08,20240905
280,3654,33,23,14,Transferência,15.77,20240820
281,11774,2444,43,27,Crédito,5.0,20260311
282,6815,354,56,10,Transferência,48.31,20250527
283,5093,2811,41,13,Crédito,22.09,20250513
284,1792,574,39,32,Transferência,39.83,20240826
285,5249,2715,8,10,Crédito,21.99,20240825
286,6071,1497,6,37,Débito,5.0,20240720
287,566,1912,80,34,Transferência,13.77,20240708
288,9936,159,77,36,Crédito,15.12,20260323
289,114,1656,70,1,Débito,46.03,20240409
290,8398,2235,39,38,Débito,7.84,20240410
291,14033,333,76,26,Pix,5.0,20250513
292,10632,1707,49,40,Crédito,5.0,20250716
293,8717,1952,73,16,Crédito,21.12,20250217
294,13262,2428,35,20,Débito,19.28,20240831
295,9541,2965,45,21,Crédito,5.0,20250604
296,11455,325,40,15,Crédito,13.66,20240104
297,1912,1694,32,32,Pagamento,29.87,20240426
298,7337,1045,72,32,Débito,5.0,20260205
299,10316,2902,79,37,Pix,14.97,20250429
300,15000,595,15,18,Pix,30.76,20260117
301,12970,1656,23,30,Transferência,12.44,20250109
302,6732,2306,43,31,Débito,14.52,20251201
303,269,1027,71,29,Pix,5.52,20241107
304,12236,811,15,40,Transferência,40.99,20250113
305,2710,112,10,30,Pix,5.0,20240519
306,188,1697,66,28,Transferência,5.0,20241222
307,3817,2471,77,13,Pagamento,5.0,20240402
308,14159,1269,6,19,Transferência,12.67,20240517
309,4105,2687,60,25,Transferência,13.09,20260126
310,13049,290,52,9,Pix,13.07,20240109
311,10835,881,1,35,Débito,13.89,20250626
312,5710,1279,62,1,Débito,10.76,20260314
313,12661,1361,14,17,Pagamento,10.36,20240121
314,9389,2367,15,29,Pagamento,9.15,20240126
315,4824,2742,80,24,Crédito,7.68,20240828
316,1301,1318,77,30,Transferência,31.43,20240312
317,1080,1322,35,20,Pagamento,41.99,20260310
318,7989,1395,5,29,Crédito,34.64,20250611
319,10631,698,69,10,Pagamento,39.35,20250527
320,6270,1968,80,12,Crédito,5.0,20250821
321,14346,2133,52,4,Débito,14.42,20260223
322,6357,1480,26,37,Pix,17.09,20240711
323,7116,1873,69,8,Pagamento,5.0,20260108
324,12264,2407,11,22,Crédito,64.33,20250401
325,14558,1,19,38,Débito,5.0,20260213
326,1617,1547,28,9,Pagamento,8.6,20241210
327,4184,1698,29,24,Transferência,39.78,20250520
328,8993,2033,50,33,Crédito,18.24,20240226
329,11847,802,63,30,Crédito,5.0,20240211
330,10149,1326,67,35,Transferência,15.13,20240620
331,1033,1491,50,8,Pix,29.67,20260220
332,7906,922,53,26,Transferência,20.76,20250630
333,12048,2624,54,8,Pagamento,23.27,20260120
334,13761,1994,63,8,Pix,6.25,20240924
335,2340,1977,41,18,Pix,14.04,20241009
336,5496,471,19,34,Transferência,6.6,20240212
337,492,2278,13,16,Crédito,13.42,20260109
338,11298,2712,22,38,Crédito,29.94,20240809
339,3653,954,23,13,Débito,25.3,20250929
340,7230,2333,58,3,Crédito,10.64,20251113
341,9959,357,34,1,Transferência,16.9,20240613
342,2142,2520,29,22,Crédito,5.73,20240724
343,10436,809,54,8,Débito,5.0,20250326
344,7695,1058,69,1,Débito,10.74,20241219
345,12022,2399,18,22,Pagamento,15.09,20241119
346,7878,2739,58,31,Pix,30.05,20250925
347,8465,515,47,29,Pagamento,15.37,20250907
348,7246,2840,7,19,Crédito,32.85,20250317
349,7021,2061,62,2,Pagamento,5.0,20260310
350,2622,394,26,40,Crédito,6.43,20241015
351,13664,2571,56,24,Crédito,18.47,20250119
352,8634,2589,44,34,Crédito,5.66,20240917
353,9165,587,36,5,Pagamento,5.0,20241027
354,14845,1893,56,5,Pix,11.87,20250206
355,4860,2453,8,20,Débito,8.32,20250912
356,4680,1129,67,12,Pagamento,13.45,20240404
357,6041,1526,50,28,Crédito,8.55,20240801
358,14,892,70,38,Débito,15.2,20250711
359,10129,2005,8,9,Débito,8.7,20250924
360,12246,578,32,13,Pix,44.9,20250511
361,10937,1029,39,19,Pix,11.65,20240121
362,6725,1434,65,20,Débito,21.7,20240407
363,1687,313,54,7,Débito,5.0,20240630
364,4434,2610,2,27,Transferência,22.63,20240924
365,8,404,44,8,Pix,67.26,20240628
366,6199,1098,13,2,Pix,26.8,20260331
367,12740,1682,15,4,Pix,17.7,20240506
368,3132,1359,7,20,Débito,16.16,20240313
369,12902,481,70,7,Transferência,5.0,20240807
370,9690,1946,35,10,Pix,10.22,20250502
371,9848,1236,46,14,Crédito,52.78,20250519
372,2757,2237,49,23,Crédito,5.12,20250305
373,12654,957,41,27,Crédito,5.0,20241114
374,989,104,31,38,Transferência,22.13,20240206
375,1391,431,53,21,Pagamento,11.16,20251009
376,6667,1052,62,27,Crédito,8.34,20240108
377,1323,2458,58,7,Pix,5.0,20250109
378,10577,1148,47,37,Transferência,13.79,20250822
379,7319,610,66,39,Crédito,10.31,20240418
380,6652,2782,62,6,Transferência,5.0,20260206
381,9574,731,8,30,Débito,10.22,20250202
382,13743,1994,46,23,Transferência,6.78,20240428
383,14971,2313,69,22,Pix,15.5,20241207
384,14624,2711,2,9,Transferência,11.69,20251011
385,6841,966,8,23,Transferência,15.99,20250905
386,5339,1122,13,31,Pagamento,9.21,20250718
387,1943,2217,10,13,Crédito,7.21,20240315
388,766,2683,40,25,Transferência,5.0,20251229
389,8333,1987,3,30,Transferência,5.0,20240814
390,7111,1824,11,35,Pagamento,39.21,20250201
391,13448,2649,2,33,Débito,13.94,20240822
392,7393,2517,71,1,Transferência,15.44,20240320
393,5447,416,20,6,Transferência,11.26,20240124
394,615,678,63,15,Pagamento,7.38,20241115
395,6965,1501,57,2,Crédito,7.78,20251226
396,4652,2868,69,18,Pix,14.21,20250504
397,13863,1999,36,1,Pix,21.1,20250909
398,13976,840,49,10,Transferência,6.58,20260121
399,7248,616,28,33,Pagamento,9.06,20241214
400,6157,1870,52,21,Débito,10.65,20251029
401,1342,1191,47,38,Pagamento,5.0,20260311
402,8526,2550,9,15,Pix,5.0,20251129
403,4455,2207,76,25,Crédito,30.55,20251108
404,5132,1109,73,1,Transferência,15.41,20240314
405,7884,2946,39,18,Débito,5.0,20250319
406,8532,1443,55,15,Débito,5.7,20251126
407,8951,1189,3,6,Crédito,6.75,20251204
408,3315,2876,55,26,Débito,8.6,20241209
409,9485,2447,24,31,Débito,8.6,20260201
410,9789,716,14,29,Débito,5.62,20240921
411,13916,598,12,3,Pagamento,18.79,20250309
412,5702,2305,55,31,Pagamento,24.79,20250610
413,12451,1444,76,11,Crédito,13.76,20240410
414,14520,2305,77,40,Pagamento,5.0,20250706
415,8478,887,7,4,Pix,9.73,20250620
416,9201,423,15,1,Débito,9.73,20260320
417,8555,587,22,40,Pix,23.16,20240803
418,9890,411,66,4,Transferência,17.01,20250215
419,6093,1829,73,14,Pix,6.82,20240903
420,11811,2927,70,16,Débito,9.11,20241220
421,13747,2952,33,9,Transferência,12.63,20240110
422,13221,2288,16,18,Crédito,36.43,20251030
423,782,61,54,22,Pix,5.0,20251101
424,3572,2091,62,37,Pagamento,27.37,20260131
425,3173,2858,43,37,Crédito,6.52,20250305
426,4334,2477,38,33,Transferência,5.47,20240206
427,9445,1219,31,5,Débito,14.27,20250712
428,13905,1540,45,40,Pagamento,27.87,20240508
429,13551,2170,33,21,Débito,44.53,20241124
430,3232,676,30,31,Crédito,5.0,20260220
431,13099,1397,25,39,Transferência,18.67,20250505
432,11858,1319,21,32,Débito,39.34,20240704
433,12385,1906,61,33,Transferência,6.86,20240930
434,9355,2638,30,29,Débito,7.38,20241103
435,9738,477,48,13,Crédito,24.56,20250307
436,8545,1854,27,25,Débito,25.9,20250615
437,8469,2093,39,26,Débito,7.38,20240602
438,1321,2428,33,22,Débito,9.27,20240223
439,11842,1682,39,26,Pagamento,23.09,20241102
440,1442,859,40,26,Pagamento,17.61,20240624
441,13106,1683,62,7,Transferência,14.98,20240322
442,207,169,25,37,Transferência,21.32,20250323
443,2225,1430,67,38,Pagamento,8.58,20250111
444,10779,463,3,19,Pix,5.0,20241211
445,3742,2893,2,22,Pagamento,45.83,20240428
446,2718,2831,7,39,Crédito,5.0,20241220
447,5567,2991,1,27,Pix,5.0,20251214
448,8414,2941,7,14,Transferência,6.57,20251101
449,13547,330,41,27,Pagamento,17.69,20250420
450,5585,857,36,25,Pagamento,12.3,20260123
451,1043,541,57,27,Pagamento,5.0,20240414
452,12449,1302,59,9,Transferência,26.65,20250528
453,12058,399,44,40,Pix,19.5,20250425
454,7321,2083,33,10,Pagamento,13.39,20240504
455,7677,1762,63,16,Transferência,18.42,20251006
456,546,2409,14,7,Crédito,8.94,20240617
457,8577,370,17,40,Pagamento,9.99,20250705
458,5358,2894,66,38,Crédito,44.75,20251017
459,5738,870,61,37,Transferência,30.27,20250609
460,11016,1927,8,38,Débito,5.68,20240130
461,4796,1040,44,36,Pagamento,77.62,20240730
462,168,250,55,26,Transferência,14.66,20250527
463,12225,738,77,37,Pix,14.1,20251012
464,9825,449,17,25,Débito,12.74,20251018
465,8217,789,38,32,Pix,15.25,20240221
466,12496,768,10,38,Pagamento,29.89,20260102
467,5578,1814,1,39,Crédito,6.28,20240913
468,1341,1487,46,21,Débito,20.62,20250726
469,10240,1870,64,9,Pix,29.14,20240911
470,8150,813,40,30,Débito,8.35,20240121
471,5163,2786,25,6,Pix,18.98,20251225
472,10530,1510,2,38,Transferência,7.41,20260106
473,10149,1326,67,35,Transferência,12.29,20250806
474,53,2122,32,36,Transferência,5.0,20241027
475,327,2071,69,7,Débito,5.91,20240917
476,5144,1507,60,10,Pix,22.54,20240224
477,12060,1842,59,20,Pagamento,5.0,20240423
478,12887,1308,57,26,Pagamento,14.75,20250723
479,5752,482,78,32,Pagamento,14.71,20250709
480,11151,1890,1,17,Pagamento,6.25,20240720
481,7367,2137,74,12,Pagamento,5.0,20240211
482,13808,323,79,8,Débito,29.04,20240716
483,12502,1547,28,19,Pagamento,31.06,20250606
484,7508,350,18,28,Transferência,23.06,20241121
485,14782,2188,45,6,Crédito,21.19,20250825
486,6871,474,40,31,Pagamento,7.95,20251027
487,4776,1937,47,29,Transferência,12.34,20240720
488,14319,442,49,23,Crédito,5.0,20250508
489,2520,1902,70,7,Transferência,24.57,20251021
490,9949,1920,56,30,Crédito,31.99,20250716
491,3782,2380,66,10,Pix,5.0,20240501
492,11849,999,59,13,Transferência,20.2,20240612
493,13979,1921,19,35,Pix,7.92,20250228
494,3409,1377,7,34,Crédito,7.57,20250826
495,10454,248,30,32,Pagamento,5.03,20251209
496,3680,2066,37,36,Débito,5.0,20240923
497,12257,1533,15,17,Crédito,5.0,20250708
498,1161,1930,55,22,Crédito,13.39,20240214
499,12252,1969,27,22,Débito,14.78,20250408
500,4136,2589,18,16,Transferência,7.65,20251015
501,12592,2326,70,27,Pagamento,5.0,20250606
502,14692,2556,32,7,Transferência,30.35,20241006
503,12499,766,15,30,Transferência,22.93,20251017
504,9122,2671,36,33,Pagamento,8.58,20241119
505,4676,1827,62,2,Crédito,9.41,20240617
506,13306,1374,11,1,Crédito,70.34,20240420
507,10737,2193,6,30,Pagamento,11.28,20240813
508,12383,2580,20,29,Crédito,5.22,20241102
509,8609,567,43,25,Débito,17.3,20251017
510,2323,2711,76,10,Débito,14.43,20240325
511,14973,2852,43,40,Débito,10.17,20241027
512,13916,598,12,3,Crédito,13.53,20250625
513,12083,2637,47,5,Transferência,18.24,20240411
514,5000,2156,37,26,Crédito,5.0,20260107
515,11759,2805,26,2,Pix,13.68,20250323
516,8412,2356,16,5,Transferência,9.82,20241220
517,3139,1135,29,10,Transferência,7.81,20250425
518,1019,1714,44,19,Crédito,15.5,20240122
519,2533,2510,9,13,Pix,9.74,20240320
520,12651,550,20,34,Transferência,18.67,20240927
521,13049,290,52,9,Débito,5.0,20250625
522,6988,2480,30,28,Transferência,8.54,20240806
523,702,1931,29,11,Pix,8.96,20241222
524,6073,617,51,33,Transferência,5.0,20240115
525,2618,750,1,34,Pix,23.06,20241028
526,11701,638,31,21,Pix,16.72,20250617
527,5216,1385,19,16,Crédito,11.76,20240624
528,6725,1434,65,20,Pagamento,23.37,20240116
529,12669,2716,7,15,Débito,20.78,20240503
530,11017,2759,71,3,Débito,16.08,20240515
531,10274,864,1,10,Pagamento,9.51,20240406
532,10622,1745,12,25,Crédito,15.4,20250502
533,1828,2259,32,28,Pix,8.22,20240407
534,4828,662,44,7,Crédito,19.62,20250809
535,10928,2774,62,8,Transferência,7.05,20260202
536,8264,418,31,23,Crédito,22.19,20251204
537,8162,2665,67,38,Transferência,13.2,20241112
538,3047,306,71,7,Débito,32.77,20250303
539,4482,893,19,10,Débito,14.13,20250212
540,14518,1491,68,17,Débito,5.0,20240813
541,6589,2463,32,17,Pix,11.95,20250629
542,8242,1599,52,2,Transferência,21.66,20250516
543,8628,35,17,28,Crédito,8.54,20240522
544,8152,93,10,40,Pagamento,24.3,20260210
545,4784,2442,27,3,Pagamento,24.99,20251126
546,10467,296,60,29,Crédito,5.0,20260304
547,13318,2977,11,23,Transferência,5.07,20240221
548,7634,1300,69,34,Crédito,5.0,20260306
549,5770,148,26,40,Débito,20.73,20251019
550,6253,1958,69,39,Crédito,5.0,20251004
551,13621,2139,77,20,Débito,7.2,20241016
552,9278,2632,46,7,Débito,26.05,20250326
553,5060,975,46,20,Crédito,14.21,20250517
554,5072,2604,76,34,Débito,14.5,20240411
555,12172,1220,57,12,Débito,5.0,20250526
556,8311,2218,7,18,Crédito,12.94,20250210
557,4454,1703,4,14,Débito,5.33,20250320
558,1006,2569,45,20,Pagamento,5.0,20250423
559,10686,2474,35,28,Crédito,118.11,20250412
560,14454,58,27,8,Pagamento,26.9,20240216
561,12946,29,73,37,Crédito,15.7,20251124
562,358,2373,20,19,Crédito,5.97,20250723
563,250,2826,6,29,Transferência,17.96,20240809
564,3601,811,6,15,Pagamento,5.0,20250919
565,201,309,64,1,Débito,6.63,20250220
566,6286,2773,78,6,Pagamento,6.42,20241207
567,11437,1826,39,27,Pagamento,33.71,20240305
568,8400,2067,14,19,Pix,39.57,20250405
569,4928,1991,75,3,Débito,6.89,20260302
